	pielou_evenness
SRR10505051	0.3662574208260868
SRR10505052	0.2178144902750769
SRR10505053	0.07347324136519418
SRR10505056	0.4604386743043505
SRR10505057	0.4342858263582986
SRR10505058	0.42567388066647494
SRR10505059	0.2969614692437119
SRR10505060	0.2417837748998774
SRR10505061	0.35346449467935365
SRR10505062	0.3589442127397183
SRR10505063	0.3823004466028807
SRR10505064	0.22955284002821638
SRR10505065	0.3485528548563975
SRR10505066	0.4230500165070206
SRR10505067	0.02961517302772217
SRR10505068	0.2568502565008585
SRR10505069	0.3696538223779578
SRR10505071	0.2432157676416893
SRR10505072	0.0786211609249177
SRR10505076	0.5852396853812042
SRR10505077	0.5917653518567139
SRR10505078	0.5721485872961147
SRR10505079	0.292858357939144
SRR10505080	0.1406853660128797
SRR10505081	0.43430982315083244
SRR10505083	0.7166065726444875
SRR10505084	0.688189459329211
SRR10505085	0.40615720331967337
SRR10505086	0.4148151488213602
SRR10505087	0.33283465610413315
SRR10505088	0.38743838309593104
SRR10505089	0.3796594085730734
SRR10505090	0.3015856151397088
SRR10505091	0.2732982044044535
SRR10505092	0.46000811360264254
SRR10505094	0.07394776157172832
SRR10505095	0.07479223759902272
SRR10505096	0.26987213281468736
SRR10505097	0.05328860189560204
SRR10505098	0.5025232772677585
SRR10505099	0.3517189475044317
SRR10505100	0.3262410900164479
SRR10505101	0.3000813022390327
SRR10505102	0.3023287097350192
SRR10505103	0.35258918419145585
SRR10505104	0.311681773684954
SRR10505105	0.17508140876824713
SRR10505106	0.3411849004225113
SRR10505107	0.27394116819690767
SRR10505108	0.3294108410573307
SRR10505110	0.3570548086896243
SRR10505111	0.45902435548741577
SRR10505112	0.14250372592678984
SRR10505113	0.5907587497551194
SRR10505114	0.09204290969853844
SRR10505116	0.43280341987541116
SRR10505117	0.2679942327612088
SRR10505118	0.40528621305545853
SRR10505119	0.3018506582396153
SRR10505120	0.5206755312572333
SRR10505123	0.3680157729709715
SRR10505124	0.3115175822729538
SRR10505125	0.31313382278334206
SRR10505126	0.35932514357055606
SRR10505127	0.39976420357261927
SRR10505128	0.42239112201523016
SRR10505129	0.7004585356645034
SRR10505130	0.4415931521131529
SRR10505131	0.3712456808656139
SRR10505132	0.2126231903486757
SRR10505133	0.13111654714822252
SRR10505134	0.17843013679034841
SRR10505135	0.10007141651441308
SRR10505136	0.15803089122648395
SRR10505137	0.2885362338907005
SRR10505138	0.4930552712844524
SRR10505140	0.26905601232455506
SRR10505141	0.685733043421997
SRR10505142	0.578231893995266
SRR10505143	0.3095210903460001
SRR10505144	0.2684850402663296
SRR10505146	0.6007805824747114
SRR10505147	0.5128469918985462
SRR10505148	0.43978550085553325
SRR10505151	0.7297744733607525
SRR10505152	0.5194525365822584
SRR10505153	0.07073686340479281
SRR10505154	0.4663163561989345
SRR10505155	0.3806376095838002
