	observed_features
SRR10505051	11
SRR10505052	22
SRR10505053	19
SRR10505056	24
SRR10505057	13
SRR10505058	25
SRR10505059	12
SRR10505060	18
SRR10505061	10
SRR10505062	11
SRR10505063	25
SRR10505064	5
SRR10505065	39
SRR10505066	23
SRR10505067	12
SRR10505068	16
SRR10505069	26
SRR10505071	15
SRR10505072	8
SRR10505076	30
SRR10505077	32
SRR10505078	20
SRR10505079	24
SRR10505080	15
SRR10505081	11
SRR10505083	35
SRR10505084	22
SRR10505085	6
SRR10505086	9
SRR10505087	6
SRR10505088	8
SRR10505089	12
SRR10505090	13
SRR10505091	25
SRR10505092	9
SRR10505094	11
SRR10505095	18
SRR10505096	28
SRR10505097	10
SRR10505098	23
SRR10505099	15
SRR10505100	10
SRR10505101	14
SRR10505102	11
SRR10505103	18
SRR10505104	14
SRR10505105	17
SRR10505106	22
SRR10505107	13
SRR10505108	19
SRR10505110	15
SRR10505111	10
SRR10505112	24
SRR10505113	54
SRR10505114	19
SRR10505116	34
SRR10505117	17
SRR10505118	15
SRR10505119	18
SRR10505120	2
SRR10505123	30
SRR10505124	16
SRR10505125	29
SRR10505126	34
SRR10505127	31
SRR10505128	30
SRR10505129	13
SRR10505130	13
SRR10505131	24
SRR10505132	15
SRR10505133	7
SRR10505134	8
SRR10505135	9
SRR10505136	15
SRR10505137	24
SRR10505138	11
SRR10505140	13
SRR10505141	21
SRR10505142	20
SRR10505143	21
SRR10505144	13
SRR10505146	15
SRR10505147	19
SRR10505148	26
SRR10505151	31
SRR10505152	20
SRR10505153	7
SRR10505154	22
SRR10505155	33
