	shannon_entropy
SRR10505051	1.3171287306809887
SRR10505052	0.9194786471057672
SRR10505053	0.2313155706216207
SRR10505056	1.8928404326128752
SRR10505057	1.5625093398643688
SRR10505058	1.9835311540960472
SRR10505059	0.7726456957127504
SRR10505061	1.0506718032529843
SRR10505062	1.2858284967425733
SRR10505063	1.7786641581599694
SRR10505064	0.4960770573916761
SRR10505065	2.124552357335544
SRR10505066	1.3814898299469494
SRR10505068	0.9293714312440411
SRR10505069	1.6739529235465196
SRR10505071	0.9440169233449569
SRR10505072	0.18791071347841992
SRR10505076	2.731270656060706
SRR10505077	2.4295704140730026
SRR10505079	0.9508035647607656
SRR10505081	1.3983362091569078
SRR10505085	1.092922344801598
SRR10505086	1.297465100068864
SRR10505087	0.8399323296621356
SRR10505088	1.154115725294798
SRR10505089	1.355048006600629
SRR10505090	1.0993981964237118
SRR10505091	0.9811397620402182
SRR10505092	1.4275976749915857
SRR10505094	0.21167254218228287
SRR10505095	0.2411908328279351
SRR10505096	1.057188679883174
SRR10505097	0.08487719930792713
SRR10505098	2.225425834133014
SRR10505099	1.3785061502494713
SRR10505100	1.0810417085156832
SRR10505101	1.1114759367441926
SRR10505102	0.8931358804452667
SRR10505103	1.4244450125189276
SRR10505104	1.1446347033199031
SRR10505106	1.4974221203209026
SRR10505107	1.0011084752735127
SRR10505108	1.3738398813088775
SRR10505110	1.4080021955300543
SRR10505111	1.4921712354926604
SRR10505112	0.5092115284697885
SRR10505113	3.275832842237977
SRR10505114	0.2652202306923062
SRR10505116	1.655528954021748
SRR10505117	0.11120398570165066
SRR10505118	1.218375601821355
SRR10505119	0.7307868460510499
SRR10505120	0.5118645037875603
SRR10505123	1.627754900649293
SRR10505124	1.2040103738166883
SRR10505125	1.3340756038050379
SRR10505126	1.7065082571584815
SRR10505127	1.731867856248199
SRR10505128	1.868937772517262
SRR10505129	2.5987905402312323
SRR10505130	1.4353103931579583
SRR10505131	1.5422956742003593
SRR10505132	0.8037912229132692
SRR10505133	0.3674133743143016
SRR10505134	0.5297848243187334
SRR10505135	0.2810838554562474
SRR10505136	0.5407528949452631
SRR10505137	1.3003590968870595
SRR10505138	1.6459096076057964
SRR10505140	1.0569037686518712
SRR10505141	3.081080991870692
SRR10505142	2.305518896342901
SRR10505143	1.3324337812805391
SRR10505148	1.9577899169361657
SRR10505151	3.0959521170162096
SRR10505152	2.1855522509277217
SRR10505153	0.16766506115988988
SRR10505154	2.0315705113812714
SRR10505155	1.8929486045258717
